=== Stage 0: Bootstrap introspection ===|unbuildable||stage_0
./flake.nix|2385dd58862a6dd16ab2779dc81350c4da86257f64ade5783c81b859b5ecc51d|shard_21|stage_0
./flake_pipelite.nix|e2f091ff74321d7bd12fcddd55c5114f4d7c78ae1b9953f8bc3c27247f26422e|shard_12|stage_0
./image-gen-flake.nix|ec607ab8e39a89ef9f37c38c46aefd713d85dafa0151da0de1966fdf0e2b998f|shard_23|stage_0
./shell-computational.nix|fa91a5c291a69e49e1d4c9faf09944a1b4c5be60d7101c69d4742b4c03f07007|shard_1|stage_0
./shell-experiments.nix|1a5c5024d9bee4322775bd92c83a03ff454f9c6adbc665042d1af39931a3adfc|shard_6|stage_0
./shell-gap-pari.nix|2cf4fa3e5712c6436bbe67161822d6fa49b2326054f0a156d4ea16eb974f0108|shard_38|stage_0
./flake.lock|19db31908fa98227c186494784fc6508b4964d492b0a9953964083116f00a380|shard_27|stage_0
=== Stage 1: Bootstrap introspection ===|unbuildable||stage_1
./activate_review_team.sh|89875831725eed1adf8db4cdc16c30b7edb2d800663f0023c17958244e6c321b|shard_43|stage_1
./analyze_harmonic_profile.sh|033a764ce56056630cb226eac7367422556b591dee2460da84fe116da20b2a68|shard_31|stage_1
./analyze_lean4_commits.sh|c39474ae8950211ba052bc888b4d08775c97764aded43f3f30a926badf0bd7d9|shard_18|stage_1
./auto_vision_review.sh|690bd206fe21edeff9a401b4f6c9cb25b754591486f3c1df231747c99b5b197d|shard_36|stage_1
./clone_repos.sh|1c03429785a9e20d81d1d69437b6713a6e0e4a5bf4842f16bed6d85c891b9d1c|shard_7|stage_1
./convert_with_pandoc.sh|2713b42411680e4c4aaf70d18654118a187260f6aecedb287d7a3e3a897124e8|shard_13|stage_1
./create-shards.sh|ffbe0b27e565d5b8e6b001f9bd16e226b79af89d104d755ccdc9c13dd4d92f90|shard_39|stage_1
./encode_prolog_circuit.sh|8e6ae22d524cdd1e264c041407c73d5acf1be67570997f16340768f54a090660|shard_70|stage_1
./gap_to_parquet.sh|b7a68784305d167e6339a47cf2a2fd4f69a292fda26e7741326bf27eba927fad|shard_9|stage_1
./generate_zkprologml_url.sh|b60c5e22d698c9abea9c8833d1d3c6dc994f1bdedec96d6839aa0c602aa9c286|shard_42|stage_1
./install-gap-pari.sh|e9ea8f48525891867ce7155b210f5b17dd8d7ddc56e313fa2ef5b240f26f551c|shard_60|stage_1
./introspect_shard.sh|fdee317edd4d3b02e4dbb0bdf47a0601a89fb5791728e6989b29ac8c3b791313|shard_13|stage_1
./introspect_stage.sh|aacfb92db9fa3de21c2c53e06980f380c8becc91bf91387069326984aae0653c|shard_21|stage_1
./monitor_scan.sh|d6154f6928f9d9c6aafafca682b88cfd72284900bd3886cdb41f35139e4e63ed|shard_2|stage_1
./perf_chunks.sh|a6a455f1abd125bda6b10242dea9c151e2264f2147a61c541083e4e8503f651d|shard_29|stage_1
./pipelite_nix_rust.sh|a52db33b429b08a59e3f76278b3968e8134568e2cd9a09916f840bcb50dc0a70|shard_66|stage_1
./pipelite_proof_to_song.sh|13ca96d3b788dd11f185a6f1c70821858e1464a12b867e25b96c7c797e22cbff|shard_62|stage_1
./quick_71_check.sh|f4a3ae2d5dd04bbb356a240568a1aa178c6a50c4f04d8e86d443f9b261a98d48|shard_16|stage_1
./quickstart.sh|68bd9aad0ae13fb699eeb0ae33f68e259c2b53329d3661aa1dbc4ea8f624a5a6|shard_46|stage_1
./resolve_zkprologml_local.sh|8e7a0445518cdabc30efe783ab2fb2c9426ace807237c13c52d53b54f4172b82|shard_39|stage_1
./run_experiments.sh|7e3232efe0b131ba7055bb17a32a3c1fe88204d89fa5b3a24957e18c432c8ffc|shard_49|stage_1
./run_minizinc_optimization.sh|35c0373e3da758a2999036e877b726ae7d9137e4d1a771bed50d23a4662fa95e|shard_42|stage_1
./run-tests.sh|e75194d5e1d191af638cec428b785342d2765195502a23d8d4499237b89d17a0|shard_54|stage_1
./run_with_perf.sh|9985a93c399e78caad4178e1e1bace8a4732bc7defb97b6ccaacf9e480f4f287|shard_57|stage_1
./schedule_bootstrap.sh|2f4a4d00d69a7116e12e57f441762113f4c618e660a9d265106b6b699d693c2b|shard_11|stage_1
./shard_files.sh|4f1c052848ed8822c0fff527f84226f63a7cec4990cfa0c0a050a5b23d8b5b65|shard_22|stage_1
./solve_prime_71.sh|1a46a02f111db60821dbddc0cd6afab155281ca78400c4aa1aefd35f968865df|shard_54|stage_1
./start_iarelife.sh|cda0cb59ed3351bb2af6a31847234801448ef89d34700b6117a7ddb29534d668|shard_30|stage_1
./test_workflow_local.sh|91a1c0bd80517cc6257c94ae602ea9d0300dff4f989a7759951b76fa062639a4|shard_14|stage_1
./trace-lmfdb.sh|d65ecfa7600741be4176b7edcd1d23b7d741caf1b62d5b493739ebee33a7c3df|shard_36|stage_1
./lmfdb_conversion.pl|c0965fbf4545256388c5e1ef5f1d440f0fe33f171d54d984df8e2e2a962508f3|shard_29|stage_1
=== Stage 2: Bootstrap introspection ===|unbuildable||stage_2
./src/bin/graded_ring_71.rs|47cda8348178d75f516b048cb1d4acaf5193d825ac40fee951bf8dafcc866853|shard_10|stage_2
./src/bin/monster_harmonics.rs|b6dcf7f608f6442b6becd0f694860185d5f82c12aff5adfd568a54fa467c27cf|shard_2|stage_2
./src/bin/partition_lmfdb.rs|b4977c018f5c5843102cdb47bb6001324176971a2dc8fb985bb85730c3626946|shard_38|stage_2
./src/bin/post_commit_review.rs|f765769acb917c0d635d44dae9936918e5c76b4f739db84df1c8ea7b23527a41|shard_48|stage_2
./src/bin/precedence_survey.rs|c0ead3d9f5948b1a2493a1c94b5017adca9017d120dbd9fc5cd70f927940d6c1|shard_41|stage_2
./src/bin/pre_commit_review.rs|c1e19b0c432c2d1ceac2b8525576f3000bba0eec4d154e1253348e73aab1e047|shard_15|stage_2
./src/bin/review_paper.rs|340b0b71c80864aa5f10317dc9ab80e0b4c0047a8b0176d8c0f8b74294f6ff04|shard_14|stage_2
./src/bin/term_frequency.rs|49936f69c066a0dfb7e1d96b1f5dde6ef7ca5649ab1a91a032d10c04074df6a2|shard_39|stage_2
./src/bin/test_algorithm.rs|9db3af5761f1f840a0b09ad25965651e477718fa7f28b5c5ddf3c536d2f3494d|shard_2|stage_2
./src/bin/virtual_knuth.rs|1acdba03bc76812ecfb3694125ffbbcf5e0454cb4795ff03b78c2280b58d9b49|shard_42|stage_2
=== Stage 3: Bootstrap introspection ===|unbuildable||stage_3
